cce_loss,cce_accuracy,disc_loss,gan_loss
"tf.Tensor(14.471184, shape=(), dtype=float32)","tf.Tensor(0.66798997, shape=(), dtype=float32)","tf.Tensor(0.00020068658, shape=(), dtype=float32)","tf.Tensor(9.153512, shape=(), dtype=float32)"
"tf.Tensor(14.754475, shape=(), dtype=float32)","tf.Tensor(0.6181319, shape=(), dtype=float32)","tf.Tensor(6.555612e-05, shape=(), dtype=float32)","tf.Tensor(10.88735, shape=(), dtype=float32)"
"tf.Tensor(9.732947, shape=(), dtype=float32)","tf.Tensor(0.75687945, shape=(), dtype=float32)","tf.Tensor(8.529421e-05, shape=(), dtype=float32)","tf.Tensor(10.171876, shape=(), dtype=float32)"
"tf.Tensor(11.2353525, shape=(), dtype=float32)","tf.Tensor(0.7288299, shape=(), dtype=float32)","tf.Tensor(8.475292e-05, shape=(), dtype=float32)","tf.Tensor(10.1064825, shape=(), dtype=float32)"
"tf.Tensor(10.998624, shape=(), dtype=float32)","tf.Tensor(0.7308511, shape=(), dtype=float32)","tf.Tensor(8.5359345e-05, shape=(), dtype=float32)","tf.Tensor(10.058556, shape=(), dtype=float32)"
"tf.Tensor(10.82541, shape=(), dtype=float32)","tf.Tensor(0.7347748, shape=(), dtype=float32)","tf.Tensor(8.299463e-05, shape=(), dtype=float32)","tf.Tensor(10.092425, shape=(), dtype=float32)"
"tf.Tensor(10.735402, shape=(), dtype=float32)","tf.Tensor(0.7365947, shape=(), dtype=float32)","tf.Tensor(8.17345e-05, shape=(), dtype=float32)","tf.Tensor(10.0907, shape=(), dtype=float32)"
"tf.Tensor(10.542428, shape=(), dtype=float32)","tf.Tensor(0.74086547, shape=(), dtype=float32)","tf.Tensor(7.977239e-05, shape=(), dtype=float32)","tf.Tensor(10.106378, shape=(), dtype=float32)"
"tf.Tensor(10.391544, shape=(), dtype=float32)","tf.Tensor(0.7443024, shape=(), dtype=float32)","tf.Tensor(7.8331475e-05, shape=(), dtype=float32)","tf.Tensor(10.119134, shape=(), dtype=float32)"
"tf.Tensor(10.340137, shape=(), dtype=float32)","tf.Tensor(0.745263, shape=(), dtype=float32)","tf.Tensor(7.732469e-05, shape=(), dtype=float32)","tf.Tensor(10.117605, shape=(), dtype=float32)"
"tf.Tensor(10.270231, shape=(), dtype=float32)","tf.Tensor(0.7472213, shape=(), dtype=float32)","tf.Tensor(7.61157e-05, shape=(), dtype=float32)","tf.Tensor(10.129853, shape=(), dtype=float32)"
